Date,BTC/USD,RSUS.L,SCHX,GME,,,,,,
26/05/2019,0.058007365,-0.026371308,-0.011257383,-0.091753775,,,,,,
02/06/2019,0.008041099,-0.016870454,-0.025876092,-0.030690537,,,,,,
09/06/2019,-0.120654916,0.016845025,0.044019462,-0.337730871,,,,,,
16/06/2019,0.169926902,0.023223411,0.005815659,0.121513944,,,,,,
23/06/2019,0.20689146,0.011045605,0.021248945,-0.037300178,,,,,,
30/06/2019,-0.003520453,0.003142742,-0.006510969,0.009225092,,,,,,
07/07/2019,0.058582076,0.019543459,0.017381421,0.009140768,,,,,,
14/07/2019,-0.104340589,-0.00219482,0.007982061,-0.110507246,,,,,,
21/07/2019,0.033448217,-0.002346444,-0.011947763,-0.120162933,,,,,,
28/07/2019,-0.0987107,0.020432163,0.016169769,-0.071759259,,,,,,
04/08/2019,0.148366475,-0.006914377,-0.03044136,-0.057356609,,,,,,
11/08/2019,0.050445326,-0.010879025,-0.00399599,-0.05026455,,,,,,
18/08/2019,-0.1022051,-0.015838128,-0.009743516,-0.075208914,,,,,,
25/08/2019,-0.020036417,-0.015198987,-0.013746158,0.09939759,,,,,,
01/09/2019,-0.037534765,0.012256106,0.026261633,0.087671233,,,,,,
08/09/2019,0.070025386,0.006277997,0.018727735,0.085642317,,,,,,
15/09/2019,-0.008960923,0.033571034,0.010103859,0.023201856,,,,,,
22/09/2019,-0.026800155,-0.013365909,-0.004584621,0.065759637,,,,,,
29/09/2019,-0.195246314,-0.003641661,-0.0150733,0.136170213,,,,,,
06/10/2019,-0.014317267,-0.032309941,-0.002834023,0.039325843,,,,,,
13/10/2019,0.041667953,-0.004230216,0.006536862,-0.032432432,,,,,,
20/10/2019,-0.011888915,-0.006827552,0.005223705,0.106145251,,,,,,
27/10/2019,0.161715408,0.019401222,0.012078666,0.069023569,,,,,,
03/11/2019,-0.033120791,0.007942424,0.014848724,-0.080314961,,,,,,
10/11/2019,-0.019471708,0.018287184,0.008751539,0.042808219,,,,,,
17/11/2019,-0.052735839,-0.008760374,0.010302318,-0.034482759,,,,,,
24/11/2019,-0.178370593,-0.003093239,-0.002146733,-0.037414966,,,,,,
01/12/2019,0.053402372,0.02245857,0.011160333,0.120141343,,,,,,
08/12/2019,0.018864119,-0.009392949,0.000531928,0.05362776,,,,,,
15/12/2019,-0.054471794,-0.020423077,0.00066458,-0.184131737,,,,,,
22/12/2019,0.050233774,0.049590497,0.017266503,0.099082569,,,,,,
29/12/2019,-0.011839843,-0.00482412,0.006006098,-0.015025042,,,,,,
05/01/2020,-0.001527143,-0.009694896,-0.000908501,-0.003389831,,,,,,
12/01/2020,0.105403226,0.004894961,0.010392257,-0.076530612,,,,,,
19/01/2020,0.06270996,0.028080199,0.019285164,-0.125230203,,,,,,
26/01/2020,-0.01256742,-0.021460423,-0.008829428,-0.090526316,,,,,,
02/02/2020,0.086954744,-0.041441241,-0.020997734,-0.111111111,,,,,,
09/02/2020,0.082649658,0.051255447,0.032367061,-0.0078125,,,,,,
16/02/2020,-0.018013849,0.007348728,0.017376039,0.05511811,,,,,,
23/02/2020,-0.000998343,-0.000982015,-0.011262425,0.004975124,,,,,,
01/03/2020,-0.137242116,-0.113748069,-0.113405897,-0.108910891,,,,,,
08/03/2020,-0.053061644,-0.032958358,0.003388366,0.088888889,,,,,,
15/03/2020,-0.334948489,-0.176798236,-0.091740495,0.170918367,,,,,,
22/03/2020,0.081215572,-0.030354338,-0.152440024,-0.180827887,,,,,,
